Train No.,islno,station Code,Day of Journey,Arrival time,Departure time,Distance
11014,1,CBE,1,0:00,8:45,0
11014,2,TUP,1,9:23,9:25,50
11014,3,ED,1,10:20,10:25,100
11014,4,SA,1,11:20,11:25,163
11014,5,OML,1,11:49,11:50,174
11014,6,DPJ,1,12:48,12:50,229
11014,7,HSRA,1,14:13,14:15,321
11014,8,SBC,1,15:45,16:00,381
11014,9,BNC,1,16:10,16:12,386
11014,10,HUP,1,18:08,18:10,491
11014,11,SSPN,1,19:25,19:30,549
11014,12,DMM,1,20:18,20:20,582
11014,13,ATP,1,20:54,20:55,616
11014,14,KLU,1,21:28,21:30,643
11014,15,GY,1,22:09,22:10,672
11014,16,GTL,1,22:40,22:45,701
11014,17,AD,1,23:24,23:25,752
11014,18,MALM,2,0:04,0:05,793
11014,19,RC,2,0:28,0:30,822
11014,20,KSN,2,0:49,0:50,847
11014,21,YG,2,1:44,1:45,890
11014,22,NW,2,2:05,2:06,916
11014,23,WADI,2,3:00,3:05,929
11014,24,SDB,2,3:17,3:18,939
11014,25,GR,2,3:40,3:43,966
11014,26,GUR,2,4:09,4:10,992
11014,27,DUD,2,4:28,4:29,1016
11014,28,SUR,2,5:50,6:00,1079
11014,29,KWV,2,7:08,7:10,1157
11014,30,DD,2,9:25,9:30,1266
11014,31,PUNE,2,10:35,10:45,1341
11014,32,KYN,2,13:12,13:15,1480
11014,33,TNA,2,13:38,13:40,1500
11014,34,LTT,2,14:30,0:00,1517
